avg_tip_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
1.7506656189482142,0,-79.3333333333,-79.244767663605
1.7486647993720839,902,0.5529007315904124,0.6414664012854132
1.0157280735514906,897,0.11007238311540846,0.19863805281040925
1.7502514766930186,907,0.9957290800654164,1.0842947497604172
1.7467468334296645,900,0.37576939220041083,0.4643350618954116
1.7732729064685653,896,0.021506713420407664,0.11007238311540846
1.7466031590505045,901,0.4643350618954116,0.5529007315904124
1.7489269363408841,903,0.6414664012854132,0.730032070980414
1.7483694050183998,905,0.8185977406754148,0.9071634103704156
1.7470352169340846,906,0.9071634103704156,0.9957290800654164
1.501286622559739,898,0.19863805281040925,0.28720372250541004
1.742577211577293,899,0.28720372250541004,0.37576939220041083
1.7491056557979239,904,0.730032070980414,0.8185977406754148
2.761642902564863,895,-0.06705895627459313,0.021506713420407664
