avg_total_amount,bkt_tip_percentage,val_start,val_end
111.58463414634147,907,0.99572908006541722,1.084294749760417680
87.47966942148737,906,0.90716341037041676,0.995729080065417220
43.30520625889034,905,0.81859774067541630,0.907163410370416760
27.26313568985178,904,0.73003207098041584,0.818597740675416300
25.224026879044303,901,0.46433506189541446,0.552900731590414920
22.681325126719695,903,0.64146640128541538,0.730032070980415840
21.663492871690252,902,0.55290073159041492,0.641466401285415380
18.11109622832186,898,0.19863805281041308,0.287203722505413540
17.871154471627264,896,0.02150671342041216,0.110072383115412620
16.751101674351425,900,0.37576939220041400,0.464335061895414460
16.712915344307607,897,0.11007238311541262,0.198638052810413080
14.945179448169988,899,0.28720372250541354,0.375769392200414000
13.099880202805885,895,-0.06705895627458830,0.021506713420412160
0.3,0,-79.33333333330000000,-79.244767663604999540
