avg_trip_distance,bkt_total_amount,val_start,val_end
191.9,59,1189.9554173371967,1226.36822102087800
178.6,58,1153.5426136535154,1189.95541733719670
58.9,54,1007.8913989187902,1044.30420260247150
51.943749999999994,40,498.1121473472520,534.52495103093330
49.732499999999995,43,607.3505583982959,643.76336208197720
34.233333333333334,45,680.1761657656585,716.58896944933980
32.57597402597402,35,316.0481289288455,352.46093261252680
31.925,46,716.5889694493398,753.00177313302110
31.261850533807824,33,243.2225215614829,279.63532524516420
30.911464968152863,34,279.6353252451642,316.04812892884550
29.804318181818186,37,388.8737362962081,425.28653997988940
28.850000000000005,50,862.2401841840650,898.65298786774630
27.040508474576274,36,352.4609326125268,388.87373629620810
26.30900000000001,32,206.8097178778016,243.22252156148290
25.10285714285714,39,461.6993436635707,498.11214734725200
22.954872262773723,31,170.3969141941203,206.80971787780160
22.818292682926828,38,425.2865399798894,461.69934366357070
20.935183284457477,30,133.9841105104390,170.39691419412030
19.025000000000002,42,570.9377547146146,607.35055839829590
17.82519578175145,29,97.5713068267577,133.98411051043900
17.3,109,3010.5956015212617,3047.00840520494300
16.96043368051452,28,61.1585031430764,97.57130682675770
15.816630603947615,27,24.7456994593951,61.15850314307640
13.4,56,1080.7170062861528,1117.12980996983410
9.0775,52,935.0657915514276,971.47859523510890
8.8,51,898.6529878677463,935.06579155142760
7.35,41,534.5249510309333,570.93775471461460
7.18,53,971.4785952351089,1007.89139891879020
6.65,48,789.4145768167024,825.82738050038370
3.7,47,753.0017731330211,789.41457681670240
2.9742706548071602,26,-11.6671042242862,24.74569945939510
2.0,246,7999.1497061855998,8035.56250986928110
1.2,61,1262.7810247045593,1299.19382838824060
0.9,3082,111265.8609531057666,111302.27375678944790
0.255,19,-266.5567300100553,-230.14392632637400
0.24857142857142858,22,-157.3183189590114,-120.90551527533010
0.2333333333333333,44,643.7633620819772,680.17616576565850
0.2,136,3993.7413009806568,4030.15410466433810
0.16375,20,-230.1439263263740,-193.73112264269270
0.10839416058394159,25,-48.0799079079675,-11.66710422428620
0.10467455621301774,24,-84.4927115916488,-48.07990790796750
0.044,21,-193.7311226426927,-157.31831895901140
0.03705882352941176,23,-120.9055152753301,-84.49271159164880
0.01,0,-958.4000000000000,-921.98719631631870
0.0,57,1117.1298099698341,1153.54261365351540
0.0,49,825.8273805003837,862.24018418406500
0.0,66,1444.8450431229658,1481.25784680664710
0.0,163,4976.8870004400519,5013.29980412373320
0.0,18,-302.9695336937366,-266.55673001005530
0.0,14,-448.6207484284618,-412.20794474478050
0.0,15,-412.2079447447805,-375.79514106109920
